138
1
-3,95596583372411E-54    
1,65070209736878E-54     
279,091845986767         
-4,58636225978366E-58    
-3,23596794448779E-58    
19994,2041473537         
5,52689385364293E-54     
-3258,29338522303        
920,185624160203         
2,76301878337035E-58     
-5563,13133609401        
241546,16241548          
-1,18796210396543E-54    
-2,37871647488603E-55    
1171,27893185496         
4,06829623790172E-59     
9,46676199144626E-59     
10764,1461823943         
-4809,08784231289        
-2,96950357106455E-54    
-651,108308236181        
-6069,46486804345        
2,30757749431328E-59     
-123509,424380352        
1077,43530656229         
2,25952589971712E-12     
-39,6569819406887        
-2533,29413670364        
-4,23204598752619E-58    
-11022,7557297103        
-5798,16134594964        
3,09752223870419E-14     
-399,503596115797        
42525,7339813802         
2,92481718059474E-58     
-731,361763016794        
108,844879544475         
406,814025634043         
-110,655714558059        
6351,86731356637         
706,633889782399         
-7322,99724277788        
846,487149100949         
-1,11050058038131E-13    
-62,3486364740336        
-7438,49528697269        
-4,71853092630025E-58    
6570,0656980858          
7444,2563331523          
4,7258892189675E-54      
-282,456235993793        
-429336,042112248        
-7,25440242392837E-58    
850025,911384744         
1149,31039977291         
3,39923644787632E-11     
-319,354063121348        
50473,2869439991         
8,2635736410043E-57      
-62649,6825557027        
10503,0755908122         
-1,10930175955975E-53    
368,792837683146         
45740,9805960881         
-1,51343731557583E-57    
279876,38252874          
2862,97696125902         
-80,9179461632178        
-489,198174983607        
67544,16614168           
-89,7572651123994        
-24411,2370215001        
2268,4919994237          
5,91415805217821E-13     
-734,025080000294        
-22145,5230270194        
5,56802286604975E-57     
49796,4954423438         
-5782,24849854463        
2,95503471335573E-53     
5053,70540701688         
-1856795,94166262        
1,10307752430911E-57     
-3606999,8855243         
3700,6922376038          
-3,73319153368357E-11    
-1594,24637336652        
123584,12508018          
1,24351837429309E-56     
297329,239252866         
6420,26874651332         
-5,45696821063757E-12    
-842,389371363278        
-671115,961328487        
-1,38399859779632E-56    
-1437806,63645731        
4631,93532461147         
-34,0023804394427        
-1492,74622186288        
30997,2407340116         
11,4010476385937         
71709,0142135387         
1249,67328616216         
7,61701812734827E-12     
-519,379130265684        
-112613,060158989        
-1,53122409723514E-56    
-224366,296942482        
206362,723920993         
-1,80798258874651E-53    
36370,9100223097         
-11049539,8446749        
-4,13004468873858E-56    
3210236,68040811         
-10481,1864611509        
-4,15596446146083E-11    
4668,10181141211         
539095,533995817         
-5,13885666449764E-55    
-126596,126825325        
66085,5982860078         
-1,1323209037073E-10     
17989,5908629055         
-4947448,35702424        
3,18647005094531E-56     
6224482,79031609         
-1372,36704417555        
646,508925684412         
13442,755023717          
-203167,231915287        
-1,44817121077767        
1051420,83174874         
18109,6274440806         
-9,2228447101661E-12     
17967,6754872941         
-774880,485672952        
-2,3283064365387E-10     
178700,72496175          
